Flight ID,Engine,TOW (kg),TOW2_OpenAP (kg),Fuel Burnt (kg) ,Fuel Burnt OpenAP (kg),Total Dust (g),Total Dust OPENAP (g),takeoff,climb,cruise,step climb,descent,landing,unknown
2022_06_23_1359_3C64F4__A343_D-AIGT,CFM56-5C3,205174.36,162016.12,48174.36,5016.116569085001,2.4347427939978274,0.1266205703698738,44.0,1788.0,12216.0,0,1468.0,0.0,96.0
2022_06_23_1712_3C656F__A333_D-AIKO,Trent 772,158984.16,155877.78,9204.16,6097.779377883604,0.775003294062266,0.5564962620836925,40.0,1264.0,984.0,0,1768.0,0.0,52.0
2022_06_23_1930_3C6565__A333_D-AIKE,Trent 772,201874.64,192929.02,52094.64,43149.01673608477,1.8899521468141964,1.261853132630376,0.0,2088.0,25320.0,0,1788.0,0.0,96.0
2022_06_23_2006_3C656F__A333_D-AIKO,Trent 772,158404.89,155440.26,8624.89,5660.264665520297,0.561138182989862,0.46606010782210683,36.0,1204.0,876.0,0,1636.0,0.0,40.0
2022_06_23_2224_3C656F__A333_D-AIKO,Trent 772,188930.02,179557.84,39150.02,29777.841777240592,1.4270398224534113,1.0213532271278951,32.0,2108.0,17084.0,0,1620.0,0.0,136.0
2022_06_23_2233_3C64F4__A343_D-AIGT,CFM56-5C3,211637.22,162613.03,54637.22,5613.032161953277,4.054588653839313,0.8670458440608441,0.0,1660.0,14444.0,0,1776.0,0.0,108.0
2022_06_24_1006_3C656F__A333_D-AIKO,Trent 772,197904.27,188581.01,48124.27,38801.01314266065,1.2503259785360685,1.0359723974449337,24.0,2076.0,22812.0,0,1672.0,0.0,124.0
2022_06_24_1207_3C6565__A333_D-AIKE,Trent 772,182832.27,176160.63,33052.27,26380.633606469783,6.210654147326076,5.936039655005544,24.0,1608.0,14760.0,0,1968.0,0.0,160.0
2022_06_24_1817_3C6565__A333_D-AIKE,Trent 772,155785.47,153887.77,6005.47,4107.774348979949,22.722284311901426,15.509888785900358,24.0,816.0,648.0,0,1212.0,0.0,64.0
2022_06_24_1937_3C656F__A333_D-AIKO,Trent 772,202651.92,191814.94,52871.92,42034.938957969425,1.2197202123773725,0.8146451624620556,0.0,2520.0,24472.0,0,1684.0,0.0,104.0
2022_06_24_2039_3C6565__A333_D-AIKE,Trent 772,155070.27,153648.42,5290.27,3868.4171780379365,14.239815595852418,11.1118735937397,24.0,684.0,636.0,0,1176.0,0.0,48.0
