Flight ID,Engine,TOW (kg),TOW2_OpenAP (kg),Fuel Burnt (kg) ,Fuel Burnt OpenAP (kg),Total Dust (g),Total Dust OPENAP (g),takeoff,climb,cruise,step climb,descent,landing,unknown
2022_05_25_2123_3C6565__A333_D-AIKE,Trent 772,169076.87,157894.25,38083.18,25658.058952258474,7.850053570540444,5.119962932139677,8.0,1828.0,17324.0,0,1908.0,0.0,64.0
2022_05_25_2133_3C656F__A333_D-AIKO,Trent 772,180682.9,171578.58,50978.78,40862.86652885668,0.2321016794707158,0.15998229613538492,12.0,1672.0,25856.0,0,1832.0,0.0,156.0
2022_05_26_0840_3C6565__A333_D-AIKE,Trent 772,190743.21,179079.09,62156.9,49196.762188487526,0.20425757051823548,0.1974515341339637,32.0,2444.0,30236.0,0,2004.0,0.0,240.0
2022_05_26_0947_39644E__A332_F-GZCO,Trent 772,172098.23,160185.22,47020.26,33783.57753713179,0.15323775207812718,0.11112397587874677,32.0,1924.0,22628.0,0,1572.0,0.0,56.0
2022_05_26_1003_3C656F__A333_D-AIKO,Trent 772,168537.66,158717.69,37484.06,26572.992679802184,1.0471132571507396,0.9409289400392521,48.0,1928.0,16556.0,0,1668.0,0.0,68.0
2022_05_26_1138_3C64F4__A343_D-AIGT,CFM56-5C3,226783.36,149915.45,94981.51,9572.718319411146,0.2582482965839092,0.012702906288153445,80.0,1816.0,26636.0,0,2120.0,0.0,148.0
2022_05_26_1643_3C656F__A333_D-AIKO,Trent 772,140556.23,138231.61,6393.58,3810.6823260361693,4.149472780808658,2.573186185794585,8.0,1056.0,112.0,0,1424.0,0.0,96.0
2022_05_26_1921_3C656F__A333_D-AIKO,Trent 772,140000.95,139021.46,5776.62,4688.2893042760315,2.9084205827522553,2.3751339368998,52.0,672.0,864.0,0,1200.0,0.0,36.0
2022_05_26_1956_39644E__A332_F-GZCO,Trent 772,173452.95,160588.01,48525.5,34231.12277776181,0.13506334304629503,0.10291583412739183,48.0,2136.0,22764.0,0,1724.0,0.0,116.0
2022_05_26_2051_3C6565__A333_D-AIKE,Trent 772,182418.53,170477.92,52907.26,39639.91359089767,0.19768599586342664,0.13182735643868645,12.0,1916.0,26264.0,0,1824.0,0.0,240.0
2022_05_26_2142_3C656F__A333_D-AIKO,Trent 772,170100.84,159409.43,39220.94,27341.58479532753,4.748502552022865,3.031492087185234,12.0,2000.0,17520.0,0,1732.0,0.0,108.0
2022_05_26_2212_3C64F4__A343_D-AIGT,CFM56-5C3,213483.32,148067.62,80203.69,7519.581294930149,0.38041771680713277,0.10767398079407448,88.0,1924.0,21884.0,0,1916.0,0.0,136.0
2022_05_27_0903_3C64F4__A343_D-AIGT,CFM56-5C3,251421.08,154046.5,122356.76,14162.779182590997,0.10487270181804756,0.011917627979354278,60.0,1996.0,35044.0,0,1616.0,0.0,164.0
2022_05_27_0908_3C6565__A333_D-AIKE,Trent 772,185732.43,172978.38,56589.37,42418.20195500228,0.0640719649153347,0.05123359221909846,36.0,2080.0,27804.0,0,2328.0,0.0,176.0
2022_05_27_1246_3C656F__A333_D-AIKO,Trent 772,162701.58,153645.14,30999.53,20936.817441531795,0.23519550417968987,0.17197989018398363,36.0,1660.0,13360.0,0,1776.0,0.0,72.0
