Flight ID,Engine,TOW (kg),TOW2_OpenAP (kg),Fuel Burnt (kg) ,Fuel Burnt OpenAP (kg),Total Dust (g),Total Dust OPENAP (g),takeoff,climb,cruise,step climb,descent,landing,unknown
2022_05_08_2005_06A2C7_QTR9M_B77W_A7-BEX,GE90-115B,216880.15,218281.65,8280.15,9681.646078753321,4.965862610403405,5.842548585926536,32.59,694.77,1107.45,0.0,1747.26,0.0,90.41
2022_05_08_2007_896112_UAE822_B77W_A6-ECK,GE90-115B,216331.61,218693.21,7731.61,10093.20689289136,8.727614283972866,9.369099794056313,23.92,647.84,1093.12,0.0,1641.78,0.0,32.88
2022_05_08_2124_89620E_UAE801_B77W_A6-EGM,GE90-115B,226796.97,235801.76,18196.97,27201.760670398977,8.005906252165275,6.39411017646246,25.87,921.49,6457.92,0.0,1477.06,0.0,68.74
2022_05_08_2148_8963D2_UAE815_B77W_A6-EPC,GE90-115B,220854.01,222600.2,12254.01,14000.204181849744,9.706071686949343,9.003466764546861,28.7,979.92,2422.01,0.0,1579.19,0.0,71.73
2022_05_08_2159_896307_UAE853_B77W_A6-ENE,GE90-115B,220399.13,221497.48,11799.13,12897.477922476748,8.501251712029093,7.085569706524086,24.8,1013.65,2018.18,0.0,1583.3,0.0,48.03
2022_05_08_2213_896211_UAE83DH_B77W_A6-EGP,GE90-115B,215894.66,217484.37,7294.66,8884.372341982636,8.151991499569997,7.47413844108817,27.45,617.44,1035.26,0.0,1316.78,0.0,123.28
2022_05_08_2214_06A1BC_QTR1184_B77W_A7-BEF,GE90-115B,223875.9,227569.5,15275.9,18969.502106554428,6.264320354650662,5.092032859189858,26.6,1037.36,4018.98,0.0,1694.57,0.0,68.39
2022_05_08_2232_89631A_UAE866_B77W_A6-ENX,GE90-115B,214458.88,215951.88,5858.88,7351.882148205377,6.6899776150801396,5.869199981175866,33.24,463.05,976.83,0.0,981.37,0.0,26.87
2022_05_08_2253_710106_SVA1131_B77W_HZ-AK28,GE90-115B,223001.15,226631.32,14401.15,18031.32382544342,6.580017277689221,5.882748578110892,23.84,976.26,3765.96,0.0,1651.61,0.0,98.61
2022_05_09_0005_06A13A_QTR1156_B77W_A7-BAX,GE90-115B,213304.95,213950.46,4704.95,5350.45530938292,7.276486242368542,8.468641028563791,28.26,407.72,504.69,0.0,831.63,0.0,238.2
2022_05_09_0043_896211_UAE836_B77W_A6-EGP,GE90-115B,215586.18,217647.21,6986.18,9047.208475031497,8.349241982507014,9.42520724418576,24.12,535.04,910.91,0.0,2122.7,0.0,63.44
2022_05_09_0044_89631A_UAE867_B77W_A6-ENX,GE90-115B,214273.1,215856.01,5673.1,7256.007557377988,4.660775822053629,6.01769625861075,19.48,447.88,771.67,0.0,1452.51,0.0,108.99
2022_05_09_0052_896307_UAE854_B77W_A6-ENE,GE90-115B,218085.2,221755.66,9485.2,13155.656821238474,4.877706995812426,5.9987971048366315,22.88,666.52,2000.97,0.0,1881.32,0.0,53.59
2022_05_09_0114_8963D2_UAE816_B77W_A6-EPC,GE90-115B,219007.49,221508.11,10407.49,12908.109683364495,11.49559589457753,10.974387418838852,0.0,808.04,2090.68,0.0,1825.63,0.0,79.74
2022_05_09_0218_06A13A_QTR1157_B77W_A7-BAX,GE90-115B,213909.07,215131.21,5309.07,6531.206049419981,8.369655140087911,9.78526297775174,26.02,367.38,1064.41,0.0,1031.36,0.0,63.09
2022_05_09_0219_06A1BC_QTR1185_B77W_A7-BEF,GE90-115B,223972.38,226879.65,15372.38,18279.652849225164,3.147949924799891,3.902343464552355,30.95,1109.52,3715.57,0.0,1700.27,0.0,102.74
2022_05_09_0233_89620E_UAE802_B77W_A6-EGM,GE90-115B,226532.15,231781.02,17932.15,23181.0193563262,2.6695322873857474,3.063078876878248,28.1,1078.79,5503.51,0.0,1650.23,0.0,71.31
2022_05_09_0309_896215_UAE819_B77W_A6-EGT,GE90-115B,220998.47,222803.4,12398.47,14203.404089069807,8.116461656461349,8.634407031583894,28.83,1007.13,2436.3,0.0,1478.51,0.0,64.47
2022_05_09_0328_8963D8_UAE827_B77W_A6-EPI,GE90-115B,216901.41,219064.89,8301.41,10464.891339574067,7.128583585937749,8.298976847872192,32.06,669.83,1332.52,0.0,1527.64,0.0,81.15
2022_05_09_0339_89617C_UAE9132_B77W_A6-EGD,GE90-115B,210859.89,210751.16,2259.89,2151.1626309558596,5.2880870991748035,5.065027601327562,16.41,215.61,141.85,0.0,457.66,0.0,47.03
